x N0 N1 N2 N3 N4 N5 N6
0.546 0 0 0.03645 0.6971 0.26645 0 0 
0.548 0 0 0.0338 0.6924 0.2738 0 0 
0.55 0 0 0.03125 0.6875 0.28125 0 0 
0.552 0 0 0.0288 0.6824 0.2888 0 0 
0.554 0 0 0.02645 0.6771 0.29645 0 0 
0.556 0 0 0.0242 0.6716 0.3042 0 0 
0.558 0 0 0.02205 0.6659 0.31205 0 0 
0.56 0 0 0.02 0.66 0.32 0 0 
0.562 0 0 0.01805 0.6539 0.32805 0 0 
0.564 0 0 0.0162 0.6476 0.3362 0 0 
0.566 0 0 0.01445 0.6411 0.34445 0 0 
0.568 0 0 0.0128 0.6344 0.3528 0 0 
0.57 0 0 0.01125 0.6275 0.36125 0 0 
0.572 0 0 0.0098 0.6204 0.3698 0 0 
0.574 0 0 0.00845 0.6131 0.37845 0 0 
0.576 0 0 0.0072 0.6056 0.3872 0 0 
0.578 0 0 0.00605 0.5979 0.39605 0 0 
0.58 0 0 0.005 0.59 0.405 0 0 
0.582 0 0 0.00405 0.5819 0.41405 0 0 
0.584 0 0 0.0032 0.5736 0.4232 0 0 
0.586 0 0 0.00245 0.5651 0.43245 0 0 
0.588 0 0 0.0018 0.5564 0.4418 0 0 
0.59 0 0 0.00125 0.5475 0.45125 0 0 
0.592 0 0 0.0008 0.5384 0.4608 0 0 
0.594 0 0 0.00045 0.5291 0.47045 0 0 
0.596 0 0 0.0002 0.5196 0.4802 0 0 
0.598 0 0 5e-05 0.5099 0.49005 0 0 
0.6 0 0 0 0.5 0.5 0 0 
0.602 0 0 0 0.49005 0.5099 5e-05 0 
0.604 0 0 0 0.4802 0.5196 0.0002 0 
0.606 0 0 0 0.47045 0.5291 0.00045 0 
0.608 0 0 0 0.4608 0.5384 0.0008 0 
0.61 0 0 0 0.45125 0.5475 0.00125 0 
0.612 0 0 0 0.4418 0.5564 0.0018 0 
0.614 0 0 0 0.43245 0.5651 0.00245 0 
0.616 0 0 0 0.4232 0.5736 0.0032 0 
0.618 0 0 0 0.41405 0.5819 0.00405 0 
0.62 0 0 0 0.405 0.59 0.005 0 
0.622 0 0 0 0.39605 0.5979 0.00605 0 
0.624 0 0 0 0.3872 0.6056 0.0072 0 
0.626 0 0 0 0.37845 0.6131 0.00845 0 
0.628 0 0 0 0.3698 0.6204 0.0098 0 
0.63 0 0 0 0.36125 0.6275 0.01125 0 
0.632 0 0 0 0.3528 0.6344 0.0128 0 
0.634 0 0 0 0.34445 0.6411 0.01445 0 
0.636 0 0 0 0.3362 0.6476 0.0162 0 
0.638 0 0 0 0.32805 0.6539 0.01805 0 
0.64 0 0 0 0.32 0.66 0.02 0 
0.642 0 0 0 0.31205 0.6659 0.02205 0 
0.644 0 0 0 0.3042 0.6716 0.0242 0 
0.646 0 0 0 0.29645 0.6771 0.02645 0 
0.648 0 0 0 0.2888 0.6824 0.0288 0 
0.65 0 0 0 0.28125 0.6875 0.03125 0 
0.652 0 0 0 0.2738 0.6924 0.0338 0 
0.654 0 0 0 0.26645 0.6971 0.03645 0 
0.656 0 0 0 0.2592 0.7016 0.0392 0 
0.658 0 0 0 0.25205 0.7059 0.04205 0 
0.66 0 0 0 0.245 0.71 0.045 0 
0.662 0 0 0 0.23805 0.7139 0.04805 0 
0.664 0 0 0 0.2312 0.7176 0.0512 0 
0.666 0 0 0 0.22445 0.7211 0.05445 0 
0.668 0 0 0 0.2178 0.7244 0.0578 0 
0.67 0 0 0 0.21125 0.7275 0.06125 0 
0.672 0 0 0 0.2048 0.7304 0.0648 0 
0.674 0 0 0 0.19845 0.7331 0.06845 0 
0.676 0 0 0 0.1922 0.7356 0.0722 0 
0.678 0 0 0 0.18605 0.7379 0.07605 0 
0.68 0 0 0 0.18 0.74 0.08 0 
0.682 0 0 0 0.17405 0.7419 0.08405 0 
0.684 0 0 0 0.1682 0.7436 0.0882 0 
0.686 0 0 0 0.16245 0.7451 0.09245 0 
0.688 0 0 0 0.1568 0.7464 0.0968 0 
0.69 0 0 0 0.15125 0.7475 0.10125 0 
0.692 0 0 0 0.1458 0.7484 0.1058 0 
0.694 0 0 0 0.14045 0.7491 0.11045 0 
0.696 0 0 0 0.1352 0.7496 0.1152 0 
0.698 0 0 0 0.13005 0.7499 0.12005 0 
0.7 0 0 0 0.125 0.75 0.125 0 
